ID,CUSTOMER_ID,OFFER_ID,ACTIVATED,VERIFIED
19964301515,40446387,768328,2021-03-24 20:14:53.000,
19964375276,40391051,768328,2021-03-24 20:51:35.000,
19964605380,40447117,767020,2021-03-24 22:45:23.000,
19964757581,40447815,767020,2021-03-24 23:58:13.000,
19964039518,40443967,761445,2021-03-24 18:02:32.000,
19963865393,40427972,761445,2021-03-24 16:36:00.000,
19963522260,40401485,761445,2021-03-24 13:57:43.000,
19964548975,40447117,761445,2021-03-24 22:17:26.000,
19963318938,40442850,761445,2021-03-24 12:03:18.000,
19964602886,40419337,761445,2021-03-24 22:44:11.000,
19964353670,40394736,761445,2021-03-24 20:40:58.000,
19963671244,40391033,761445,2021-03-24 15:07:47.000,
19963140412,40402915,761445,2021-03-24 07:53:15.000,
19963212966,40413957,761445,2021-03-24 10:27:58.000,
19964697301,40403141,761445,2021-03-24 23:30:20.000,
19964112143,40445516,761437,2021-03-24 18:39:30.000,
19964393323,40419894,761342,2021-03-24 21:00:29.000,
19963019088,40441750,755100,2021-03-24 04:13:31.000,
19964141375,40412965,755100,2021-03-24 18:55:12.000,
19960934644,40411245,755100,2021-03-23 01:58:17.000,
19961317548,40414620,755100,2021-03-23 10:01:18.000,
19963331159,40428812,755100,2021-03-24 12:11:01.000,
19962419797,40439264,755100,2021-03-23 22:20:33.000,
19964467855,40446948,755100,2021-03-24 21:37:00.000,
19963665552,40396489,755100,2021-03-24 15:05:14.000,
19961102476,40433425,755100,2021-03-23 03:38:23.000,
19962058505,40408527,755100,2021-03-23 18:45:10.000,
19963048342,40441858,755100,2021-03-24 04:46:53.000,
19963579176,40396581,755100,2021-03-24 14:25:56.000,
19962356611,40424372,755100,2021-03-23 21:45:16.000,2021-03-23 22:35:26.000
19963878179,40440119,755084,2021-03-24 16:42:22.000,
19964651725,40428096,755066,2021-03-24 23:08:05.000,
19962489902,40439566,755066,2021-03-23 22:52:51.000,
19962654969,40432283,755066,2021-03-24 00:24:20.000,
19961274103,40434433,755066,2021-03-23 07:45:22.000,
19960124213,40415992,755066,2021-03-22 19:02:21.000,2021-03-22 19:10:49.000
19961168166,40422413,755066,2021-03-23 04:32:09.000,
19960878881,40403054,755066,2021-03-23 01:30:00.000,2021-03-23 02:19:51.000
19963125763,40438392,755066,2021-03-24 07:11:00.000,
19962657128,40436079,755066,2021-03-24 00:25:33.000,
19960119900,40428653,755066,2021-03-22 18:59:45.000,
19962660385,40429306,755066,2021-03-24 00:27:25.000,
19962660887,40426335,755066,2021-03-24 00:27:43.000,
19960118668,40429774,755066,2021-03-22 18:59:02.000,
19961179337,40433819,755066,2021-03-23 04:43:54.000,
19962661478,40440253,755066,2021-03-24 00:28:04.000,
19962482436,40438879,755066,2021-03-23 22:49:16.000,
19963700862,40444114,755066,2021-03-24 15:20:07.000,
19962471236,40422913,755066,2021-03-23 22:43:31.000,
19961213962,40433114,755066,2021-03-23 05:29:54.000,
19960138450,40426322,755066,2021-03-22 19:10:57.000,
19961293015,40434551,755066,2021-03-23 08:48:05.000,
19962476711,40439506,755066,2021-03-23 22:46:21.000,
19961291931,40434546,755066,2021-03-23 08:45:24.000,
19960861769,40422471,755066,2021-03-23 01:21:24.000,
19960863219,40432434,755066,2021-03-23 01:22:05.000,
19960866255,40419757,755066,2021-03-23 01:23:41.000,
19961165285,40399062,755066,2021-03-23 04:29:28.000,
19962482736,40402231,755066,2021-03-23 22:49:25.000,
19960869985,40432269,755066,2021-03-23 01:25:35.000,
19961283659,40433088,755066,2021-03-23 08:17:23.000,
19962652291,40439218,755066,2021-03-24 00:22:43.000,
19960870813,40423651,755066,2021-03-23 01:26:00.000,
19962652618,40410966,755066,2021-03-24 00:22:55.000,
19960875503,40425520,755066,2021-03-23 01:28:19.000,
19963097263,40442166,755066,2021-03-24 06:03:25.000,
19960879194,40432398,755066,2021-03-23 01:30:10.000,
19962488573,40399982,755066,2021-03-23 22:52:12.000,
19964247370,40446186,755066,2021-03-24 19:47:41.000,
19963698472,40444101,755066,2021-03-24 15:19:13.000,
19964291757,40446414,755066,2021-03-24 20:09:49.000,
19964289754,40446393,755066,2021-03-24 20:08:49.000,
19964289581,40399620,755066,2021-03-24 20:08:43.000,
19964287823,40419317,755066,2021-03-24 20:07:48.000,
19964283659,40446092,755066,2021-03-24 20:05:38.000,
19964280102,40446309,755066,2021-03-24 20:03:45.000,
19964269912,40446311,755066,2021-03-24 19:58:38.000,
19964255367,40392772,755066,2021-03-24 19:51:40.000,
19963714005,40437588,755066,2021-03-24 15:25:41.000,
19963107364,40440633,755066,2021-03-24 06:27:44.000,
19962673131,40439297,755066,2021-03-24 00:34:51.000,
19964240352,40441137,755066,2021-03-24 19:44:21.000,
19964239163,40435235,755066,2021-03-24 19:43:48.000,
19964228880,40446125,755066,2021-03-24 19:38:52.000,
19964217835,40404292,755066,2021-03-24 19:33:35.000,
19964210049,40446063,755066,2021-03-24 19:29:45.000,
19964205613,40395287,755066,2021-03-24 19:27:41.000,
19961189733,40396905,755066,2021-03-23 04:56:41.000,
19961190459,40403667,755066,2021-03-23 04:57:38.000,
19963109827,40438202,755066,2021-03-24 06:34:07.000,
19964685849,40447868,755066,2021-03-24 23:24:41.000,
19962682654,40407713,755066,2021-03-24 00:39:33.000,2021-03-24 08:09:07.000
19961267527,40432697,755066,2021-03-23 07:24:53.000,2021-03-24 03:34:05.000
19964659387,40447500,755066,2021-03-24 23:11:48.000,
19963117160,40438757,755066,2021-03-24 06:51:02.000,
19961261785,40399961,755066,2021-03-23 07:06:42.000,
19963098172,40433606,755066,2021-03-24 06:05:17.000,
19961181105,40403992,755066,2021-03-23 04:45:54.000,
19964664097,40447465,755066,2021-03-24 23:14:12.000,
19963099411,40394830,755066,2021-03-24 06:07:52.000,
19963698469,40436490,755066,2021-03-24 15:19:13.000,
19962670649,40440175,755066,2021-03-24 00:33:24.000,
19963120965,40442373,755066,2021-03-24 06:59:48.000,
19961185688,40433730,755066,2021-03-23 04:51:31.000,
19964666624,40425532,755066,2021-03-24 23:15:27.000,
19964304108,40446473,755066,2021-03-24 20:16:15.000,
19963102994,40442099,755066,2021-03-24 06:16:06.000,
19961192778,40433381,755066,2021-03-23 05:00:43.000,
19964689003,40447857,755066,2021-03-24 23:26:13.000,
19964669433,40447815,755066,2021-03-24 23:16:51.000,
19964296693,40446400,755066,2021-03-24 20:12:23.000,
19963737339,40402390,755066,2021-03-24 15:35:54.000,
19964671229,40447802,755066,2021-03-24 23:17:43.000,
19963139397,40442496,755066,2021-03-24 07:50:23.000,
19963158259,40442604,755066,2021-03-24 08:43:08.000,
19962852432,40440990,755066,2021-03-24 02:14:48.000,
19962856024,40440983,755066,2021-03-24 02:16:51.000,
19962600327,40440024,755066,2021-03-23 23:52:59.000,
19960201592,40430156,755066,2021-03-22 19:45:27.000,
