ID,CUSTOMER_ID,OFFER_REWARD_ID,FINISHED,CREATED_AT
2723842160,40403258,750069,2021-03-19 18:38:55.000,2021-03-19 18:38:55.000
2729266003,40416567,748736,2021-03-24 05:27:05.000,2021-03-24 05:27:05.000
2729283809,40433606,748736,2021-03-24 06:41:52.000,2021-03-24 06:41:52.000
2722159478,40393042,748736,2021-03-18 13:44:01.000,2021-03-18 13:44:01.000
2722343904,40393558,748736,2021-03-18 16:14:32.000,2021-03-18 16:14:32.000
2727310125,40416267,748736,2021-03-22 05:31:36.000,2021-03-22 05:31:36.000
2727324817,40426082,748736,2021-03-22 06:22:07.000,2021-03-22 06:22:07.000
2726482390,40402112,748736,2021-03-21 17:12:21.000,2021-03-21 17:12:21.000
2726724588,40420192,748736,2021-03-21 19:59:53.000,2021-03-21 19:59:53.000
2724467627,40408523,748736,2021-03-20 03:27:49.000,2021-03-20 03:27:49.000
2729263630,40432437,750527,2021-03-24 05:19:36.000,2021-03-24 05:19:36.000
2722834668,40396664,750527,2021-03-18 22:35:09.000,2021-03-18 22:35:09.000
2725323553,40399645,748736,2021-03-20 19:38:06.000,2021-03-20 19:38:06.000
2724698788,40410370,750527,2021-03-20 12:16:18.000,2021-03-20 12:16:18.000
2729705418,40444949,749874,2021-03-24 17:26:20.000,2021-03-24 17:26:20.000
2725791627,40415859,749954,2021-03-21 02:00:28.000,2021-03-21 02:00:28.000
2727241335,40425031,749871,2021-03-22 03:26:12.000,2021-03-22 03:26:12.000
2728259025,40432947,749871,2021-03-23 03:16:22.000,2021-03-23 03:16:22.000
2724498679,40393811,749871,2021-03-20 04:02:47.000,2021-03-20 04:02:47.000
2726003059,40417774,749871,2021-03-21 09:18:10.000,2021-03-21 09:18:10.000
2724098607,40405632,750070,2021-03-19 22:19:16.000,2021-03-19 22:19:16.000
2724240444,40406922,750070,2021-03-20 00:14:09.000,2021-03-20 00:14:09.000
2725834872,40416528,749847,2021-03-21 02:40:33.000,2021-03-21 02:40:33.000
2722607083,40395487,750068,2021-03-18 19:44:08.000,2021-03-18 19:44:08.000
2724902480,40411108,750068,2021-03-20 14:57:53.000,2021-03-20 14:57:53.000
2729871191,40399620,749876,2021-03-24 20:09:42.000,2021-03-24 20:09:42.000
2729533131,40394463,749876,2021-03-24 14:48:12.000,2021-03-24 14:48:12.000
2723241920,40398478,748941,2021-03-19 05:07:29.000,2021-03-19 05:07:29.000
2728844656,40438682,749876,2021-03-23 20:40:23.000,2021-03-23 20:40:23.000
2724831888,40410980,750071,2021-03-20 14:07:11.000,2021-03-20 14:07:11.000
2722026049,40392468,750071,2021-03-18 10:52:26.000,2021-03-18 10:52:26.000
2723884279,40403638,750071,2021-03-19 19:15:14.000,2021-03-19 19:15:14.000
2723151236,40398888,750071,2021-03-19 02:55:35.000,2021-03-19 02:55:35.000
2724597377,40409798,750351,2021-03-20 07:53:22.000,2021-03-20 07:53:22.000
2726855866,40422646,749848,2021-03-21 21:29:53.000,2021-03-21 21:29:53.000
2725329269,40413609,749848,2021-03-20 19:42:47.000,2021-03-20 19:42:47.000
2722747112,40396075,749848,2021-03-18 21:25:37.000,2021-03-18 21:25:37.000
2726668565,40416070,749848,2021-03-21 19:18:20.000,2021-03-21 19:18:20.000
2722673917,40393404,749848,2021-03-18 20:33:12.000,2021-03-18 20:33:12.000
2723970046,40400944,749848,2021-03-19 20:30:31.000,2021-03-19 20:30:31.000
2727778845,40426322,749848,2021-03-22 19:04:26.000,2021-03-22 19:04:26.000
2727801541,40400036,749848,,2021-03-22 19:29:18.000
2729221243,40428785,749848,2021-03-24 03:43:36.000,2021-03-24 03:43:36.000
2729270037,40441703,749848,2021-03-24 05:40:55.000,2021-03-24 05:40:55.000
2729060764,40429288,749848,2021-03-24 00:29:57.000,2021-03-24 00:29:57.000
2729900551,40439532,749848,2021-03-24 20:38:05.000,2021-03-24 20:38:05.000
2725681092,40408277,749848,2021-03-21 00:19:58.000,2021-03-21 00:19:58.000
2728117497,40407223,749848,2021-03-23 00:43:30.000,2021-03-23 00:43:30.000
2729647991,40438665,749848,2021-03-24 16:29:51.000,2021-03-24 16:29:51.000
2729676964,40444591,749848,2021-03-24 16:58:21.000,2021-03-24 16:58:21.000
2727525196,40427612,749848,2021-03-22 14:36:38.000,2021-03-22 14:36:38.000
2727686538,40423656,749848,2021-03-22 17:23:30.000,2021-03-22 17:23:30.000
2729499309,40442673,749848,2021-03-24 14:14:45.000,2021-03-24 14:14:45.000
2721772202,40390178,749848,2021-03-18 01:43:17.000,2021-03-18 01:43:17.000
2724717469,40398831,749848,2021-03-20 12:34:49.000,2021-03-20 12:34:49.000
2725982212,40399689,749848,2021-03-21 07:15:16.000,2021-03-21 07:15:16.000
2726002569,40418013,749848,2021-03-21 09:15:04.000,2021-03-21 09:15:04.000
2724738148,40395709,749848,2021-03-20 12:53:17.000,2021-03-20 12:53:17.000
2728329822,40433114,749848,2021-03-23 05:34:23.000,2021-03-23 05:34:23.000
2725505485,40414575,749848,2021-03-20 21:50:32.000,2021-03-20 21:50:32.000
2726543577,40394496,749848,2021-03-21 17:56:55.000,2021-03-21 17:56:55.000
2726660532,40401107,749848,2021-03-21 19:18:30.000,2021-03-21 19:12:47.000
2729849482,40445243,749848,2021-03-24 19:48:37.000,2021-03-24 19:48:37.000
